Ligand ID,Ligand Image,Ligand Formula,Ligand MW,Ligand Name,Ligand SMILES,PDB IDs Total,PDB IDs Free Ligand,PDB IDs Polymeric Ligand,Instance PDB IDs (All),Instance PDB IDs as Free Ligand,Instance PDB IDs as part of a polymer
"11A","11A","C11 H22 O2","186.29","UNDECANOIC ACID","CCCCCCCCCCC(O)=O","3","3","0","3PMD,4TLG,5KNK","3PMD,4TLG,5KNK",""
"1DO","1DO","C12 H26 O","186.33","1-DODECANOL","CCCCCCCCCCCCO","6","6","0","2CFZ,3K83,3PPM,4BC7,5ZGB,5ZGH","2CFZ,3K83,3PPM,4BC7,5ZGB,5ZGH",""
"6NA","6NA","C6 H12 O2","116.16","HEXANOIC ACID","CCCCCC(O)=O","12","10","2","2IQ0,2IWZ,2IX4,3N8M,4GVU,4I4C,4KVR,4KVS,4RPM,6B83,6GQI,6J3W","2IQ0,2IWZ,2IX4,4I4C,4KVR,4KVS,4RPM,6B83,6GQI,6J3W","3N8M,4GVU"
"8K6","8K6","C18 H38","254.49","Octadecane","CCCCCCCCCCCCCCCCCC","12","12","0","4B5N,4H13,4H44,4I7Z,4OGQ,4PV1,5D91,5D92,5K0R,5K1K,5K1W,6E1O","4B5N,4H13,4H44,4I7Z,4OGQ,4PV1,5D91,5D92,5K0R,5K1K,5K1W,6E1O",""
"8YP","8YP","C10 H20 O","156.26","decanal","CCCCCCCCCC=O","1","1","0","5U0L","5U0L",""
"C14","C14","C14 H30","198.39","TETRADECANE","CCCCCCCCCCCCCC","25","25","0","1W6J,1XJI,3ATQ,3F3A,4DX5,4HYX,5AWZ,5AX0,5AX1,5B6V,5B6W,5B6X,5B6Y,5B6Z,5H2H,5H2I,5H2J,5H2K,5H2L,5H2M,5H2N,5H2O,5H2P,5I73,5I75","1W6J,1XJI,3ATQ,3F3A,4DX5,4HYX,5AWZ,5AX0,5AX1,5B6V,5B6W,5B6X,5B6Y,5B6Z,5H2H,5H2I,5H2J,5H2K,5H2L,5H2M,5H2N,5H2O,5H2P,5I73,5I75",""
"D10","D10","C10 H22","142.28","DECANE","CCCCCCCCCC","52","52","0","1N6D,1O84,1XJI,2BOZ,2CME,2EUM,2EVD,2EVS,2VT4,2XE1,2XE5,3GIA,3HAP,3HAQ,3HAS,4DX5,4DX7,4HYX,4WFF,4WFH,4XU5,4Y9H,5AJI,5AWZ,5AX0,5AX1,5B2N,5B34,5B35,5B6V,5B6W,5B6X,5B6Y,5B6Z,5H2H,5H2I,5H2J,5H2K,5H2L,5H2M,5H2N,5H2O,5H2P,5JMN,5NC5,5O0T,5UAR,5V7P,5XDN,6C09,6CQ6,6E1O","1N6D,1O84,1XJI,2BOZ,2CME,2EUM,2EVD,2EVS,2VT4,2XE1,2XE5,3GIA,3HAP,3HAQ,3HAS,4DX5,4DX7,4HYX,4WFF,4WFH,4XU5,4Y9H,5AJI,5AWZ,5AX0,5AX1,5B2N,5B34,5B35,5B6V,5B6W,5B6X,5B6Y,5B6Z,5H2H,5H2I,5H2J,5H2K,5H2L,5H2M,5H2N,5H2O,5H2P,5JMN,5NC5,5O0T,5UAR,5V7P,5XDN,6C09,6CQ6,6E1O",""
"D12","D12","C12 H26","170.34","DODECANE","CCCCCCCCCCCC","47","47","0","1GKA,1GZP,1GZQ,1OSM,1TI1,1XJI,2H4T,2J1N,2JIY,2XE5,2YNK,3ARB,3HAP,3HAQ,3HAS,3OV6,3R9B,3TZV,3UTX,3UTY,4DX5,4DX7,4JRB,4Y9H,5AWZ,5AX0,5AX1,5B2N,5B34,5B35,5H1Z,5I71,5I74,5IO6,5IO7,5JMN,5L47,5L4E,5LSE,5MZQ,5NC5,5OSA,5XDN,6BAJ,6C15,6CSX,6E1O","1GKA,1GZP,1GZQ,1OSM,1TI1,1XJI,2H4T,2J1N,2JIY,2XE5,2YNK,3ARB,3HAP,3HAQ,3HAS,3OV6,3R9B,3TZV,3UTX,3UTY,4DX5,4DX7,4JRB,4Y9H,5AWZ,5AX0,5AX1,5B2N,5B34,5B35,5H1Z,5I71,5I74,5IO6,5IO7,5JMN,5L47,5L4E,5LSE,5MZQ,5NC5,5OSA,5XDN,6BAJ,6C15,6CSX,6E1O",""
"DAO","DAO","C12 H24 O2","200.32","LAURIC ACID","CCCCCCCCCCCC(O)=O","70","69","1","1AYM,1AYN,1E7F,1EK4,1FK1,1FPN,1HZP,1M7W,1MA0,1QFF,1QFG,1S8G,1TJJ,1V9U,2AF9,2AG2,2AGC,2ALG,2B5S,2BYX,2BYZ,2BZ3,2EVD,2GFY,2GMC,2GMD,2GRX,2OVD,2QHD,2WYB,2WYD,2X5I,3ANP,3B18,3DPR,3FXI,3IYP,3RBQ,3UEU,3UIL,3VQ2,4AED,4CU4,4DOO,4G8A,4IB6,4KJX,4KU5,4S0X,4TKB,4XRF,5C9J,5CWE,5FUS,5FVN,5HCN,5IJD,5NUA,5NUB,5TV4,5UCA,5VNW,5W78,5W7C,5W7F,6BPL,6BPP,6CHT,6DGG,6F6K","1AYM,1AYN,1E7F,1EK4,1FK1,1FPN,1HZP,1M7W,1MA0,1QFF,1QFG,1S8G,1TJJ,1V9U,2AF9,2AG2,2AGC,2ALG,2B5S,2BYX,2BYZ,2BZ3,2EVD,2GFY,2GMC,2GMD,2GRX,2OVD,2QHD,2WYB,2WYD,2X5I,3ANP,3B18,3DPR,3FXI,3IYP,3UEU,3UIL,3VQ2,4AED,4CU4,4DOO,4G8A,4IB6,4KJX,4KU5,4S0X,4TKB,4XRF,5C9J,5CWE,5FUS,5FVN,5HCN,5IJD,5NUA,5NUB,5TV4,5UCA,5VNW,5W78,5W7C,5W7F,6BPL,6BPP,6CHT,6DGG,6F6K","3RBQ"
"DCR","DCR","C20 H40 O2","312.53","icosanoic acid","CCCCCCCCCCCCCCCCCCCC(O)=O","3","3","0","3EUT,4L40,5M0P","3EUT,4L40,5M0P",""
