PDB PocketNumber Pocket_Score Drug_Score Number_of_V._Vertices Mean_alpha-sphere_radius Mean_alpha-sphere_SA Mean_B-factor Hydrophobicity_Score Polarity_Score Volume_Score Real_volume Charge_Score Local_hydrophobic_density_Score Number_of_apolar_alpha_sphere Proportion_of_apolar_alpha_sphere SASA AlphaHelix Coil Strand Turn Bridge Helix310
3WVA 0 34.1023 0.1967 62 4.6706 0.6161 0.4361 12.4706 9 3.4706 1032.5801 3 10.6154 13 0.2097 961.8 3 6 1 5 0 0
4CP6 0 31.4425 0.0184 55 4.7314 0.5003 0.2649 1.5714 9 2.7143 1494.9130 -1 5.0000 6 0.1091 871.5 0 0 6 8 0 0
4CP6 1 25.5639 0.0331 44 4.6946 0.5692 0.0753 5.7222 13 3.1111 1181.9596 0 1.5000 4 0.0909 1083 0 1 8 9 0 0
4PQD 0 38.5972 0.9353 43 4.9416 0.7140 0.0541 48.2222 5 5.4444 804.3784 -1 20.0000 21 0.4884 644.9 1 0 1 7 0 0
4QLP 0 30.3811 0.0410 97 4.7148 0.5120 0.2361 11.1250 11 3.7083 1533.9673 -1 7.8462 13 0.1340 1493.8 0 8 3 12 0 0
4QLP 1 22.9161 0.6290 62 4.9336 0.6073 0.0586 35.7778 6 4.1111 1408.3885 0 32.9744 39 0.6290 824.3 1 6 0 8 3 0
4QLP 2 20.7864 0.0904 57 4.9009 0.5269 0.1188 29.1429 7 4.2143 1157.5868 -3 20.0000 21 0.3684 785.3 2 3 1 5 0 2
4QLP 3 20.0252 0.1537 56 4.7621 0.4754 0.1781 24.0000 6 4.6667 1084.1492 1 25.4074 27 0.4821 560.3 0 2 1 1 0 2
4QLP 4 14.5262 0.0459 41 4.7479 0.5924 0.1280 20.1429 10 4.5000 1058.7207 2 8.4000 10 0.2439 735.9 0 2 3 5 0 4
4R8X 0 41.5467 0.5663 127 4.5757 0.4577 0.4175 13.7500 14 3.3333 1584.8652 2 16.6923 26 0.2047 1411.8 4 14 4 3 0 0
4R8X 10 9.3084 0.0103 36 5.0012 0.5400 0.4934 1.9231 8 3.3077 903.9391 -2 3.0000 4 0.1111 917.8 0 5 7 1 0 0
4R8X 1 39.5330 0.5887 119 4.6246 0.4476 0.3611 14.5652 13 3.3913 1463.8356 2 17.5652 23 0.1933 1424.2 3 13 5 3 0 0
4R8X 2 20.9727 0.0192 72 4.5882 0.5473 0.2055 -11.9412 10 3.2941 1263.7496 -3 8.5455 11 0.1528 913.1 3 5 10 0 0 0
4R8X 3 20.3202 0.0166 73 4.6751 0.5469 0.1801 -9.2500 9 3.3125 1247.5739 -2 8.5455 11 0.1507 961.2 3 5 12 0 0 0
4R8X 4 16.2787 0.1355 43 4.9028 0.6693 0.0548 21.9231 6 3.8462 753.3403 1 14.0000 15 0.3488 466.5 0 4 9 0 0 0
4R8X 5 15.3863 0.0927 42 4.9047 0.6580 0.0616 21.9231 6 3.8462 782.9454 1 13.0000 14 0.3333 473.8 0 4 9 0 0 0
4R8X 6 14.2258 0.0330 39 4.9961 0.6659 0.1103 18.3571 7 3.7857 870.3606 1 10.0000 11 0.2821 478.3 0 4 9 0 0 0
4R8X 7 11.3264 0.0162 36 4.4665 0.5988 0.2115 -5.5556 4 3.4444 456.8279 1 11.0000 12 0.3333 484.8 2 2 5 0 0 0
4R8X 8 10.6671 0.0188 42 4.5845 0.4911 0.2288 21.0000 8 3.9286 662.1615 3 2.0000 3 0.0714 665.8 3 9 3 0 0 0
4R8X 9 9.7931 0.0120 41 4.4983 0.4294 0.2859 10.0769 8 3.8462 617.6255 3 0.0000 1 0.0244 609.5 3 6 5 0 0 0
4RAX 0 24.9606 0.2480 64 4.9044 0.5650 0.2330 43.1111 7 4.2222 1478.3633 3 8.9412 17 0.2656  0 0 0 0 0 0
4RAX 1 24.9141 0.7913 40 4.9374 0.6986 0.2885 39.8462 6 4.1538 946.3282 -3 17.3684 19 0.4750  0 0 0 0 0 0
4RGY 0 36.9990 0.3654 39 4.3648 0.5008 0.0953 22.0000 3 4.1429 293.7584 -2 21.0000 22 0.5641 459.8 2 0 0 12 0 0
4RXV 0 36.4408 0.6458 38 4.9915 0.5658 0.2317 24.2727 6 4.1818 1058.9590 2 16.0000 17 0.4474 655.5 0 3 6 1 0 0
4RZ9 0 34.4388 0.3400 61 4.8508 0.5931 0.2616 -0.0769 7 3.5385 1312.2841 -2 27.6471 34 0.5574 838.1 5 3 2 0 0 0
4RZ9 1 25.9183 0.0282 41 4.8827 0.5738 0.1211 3.6429 9 4.2857 747.7051 0 9.0000 10 0.2439 393.3 1 1 5 3 0 0
4RZ9 2 18.9159 0.0730 50 4.7617 0.5710 0.3709 25.1579 10 4.0526 1312.7761 1 6.8000 15 0.3000 1115.4 5 1 0 9 0 0
4UUL 0 39.5357 0.6976 109 5.0525 0.5544 0.2602 21.2143 13 3.7857 2222.1289 1 33.3171 41 0.3761 1326.9 9 9 1 8 0 0
4UUL 1 25.3614 0.1781 70 4.9765 0.5570 0.0998 49.0625 8 5.0000 674.5912 0 15.0000 16 0.2286 750.2 4 2 3 5 0 2
4UUL 2 24.5101 0.1916 65 5.0042 0.5804 0.0859 49.0625 8 5.0000 697.9196 0 16.0000 17 0.2615 798.5 4 2 3 5 0 2
4UUL 3 18.9987 0.0410 61 4.7330 0.4942 0.1465 26.2632 8 3.7895 954.2181 0 15.1765 17 0.2787 713.6 7 6 1 4 0 0
4UUL 4 15.5665 0.0231 49 4.6792 0.5042 0.0406 13.7692 8 3.6154 773.9791 -1 15.0000 16 0.3265 558.5 5 1 0 5 0 0
4UUL 5 15.1014 0.0173 45 4.6203 0.5027 0.0764 14.9167 8 3.8333 608.2322 -1 8.0000 9 0.2000 542.7 5 1 0 5 0 0
4UUL 6 14.3433 0.2757 38 4.5870 0.5016 0.1647 34.5333 6 3.5333 878.0026 1 26.8571 28 0.7368 661.9 4 6 2 0 0 1
4UUL 7 14.1572 0.0464 43 4.8090 0.5404 0.1454 34.4286 7 3.7857 766.0676 -1 12.0000 13 0.3023 478.6 3 4 4 1 0 1
4UUL 8 10.2482 0.0248 57 4.6263 0.4531 0.5940 22.1250 2 3.5000 1356.5966 0 19.5455 22 0.3860 908.6 6 4 0 3 0 0
4UWW 0 34.0141 0.3930 53 4.7872 0.5549 0.0321 4.4545 6 4.2727 927.2109 2 43.0870 46 0.8679 741.2 5 0 4 2 0 0
4W98 0 38.3488 0.5138 77 4.7348 0.4366 0.1831 -5.6250 10 3.2500 1120.2722 -3 44.6522 46 0.5974 911.3 7 2 2 3 0 2
4WDC 0 39.7851 0.6845 45 4.9761 0.5378 0.1130 36.5000 6 3.7143 537.6348 0 15.0000 16 0.3556 759.9 3 3 3 4 0 0
4X9R 0 27.8306 0.8956 102 4.7740 0.5737 0.1296 41.6111 9 4.1111 2036.5048 4 45.1795 78 0.7647 1239 7 1 4 4 0 0
4X9R 1 11.0632 0.0232 54 4.5667 0.5408 0.0636 19.1667 6 4.0833 1161.5588 1 10.8571 14 0.2593 865.7 0 0 6 4 0 0
4XEH 0 37.1449 0.9032 64 5.0134 0.6026 0.1110 47.0000 7 4.5714 1067.8906 0 50.0000 51 0.7969 812.2 13 1 0 0 0 0
4XEH 1 23.9368 0.2474 51 5.1234 0.4969 0.1554 37.0000 4 3.4706 1141.8988 1 37.6410 39 0.7647 1230.1 15 2 0 0 0 0
4XEH 2 15.4175 0.1154 38 4.8523 0.5168 0.2586 32.7857 7 3.7857 1180.3059 -2 23.2800 25 0.6579 881.6 12 2 0 0 0 0
4Y1W 0 34.0954 0.2678 67 4.6365 0.4604 0.2699 22.5789 10 4.0526 1084.8929 4 12.8696 23 0.3433 1205.7 5 3 7 4 0 0
4Y2F 0 36.8260 0.8178 39 4.5843 0.4891 0.1872 39.1000 5 4.3000 722.8798 0 14.0000 15 0.3846 543.6 3 3 3 1 0 0
4YEC 0 38.5072 0.8267 53 4.8895 0.6177 0.4480 37.8750 8 4.1875 1058.9213 -1 24.7692 26 0.4906 652.7 0 1 2 6 1 4
4YME 0 34.8564 0.7233 37 4.5466 0.4425 0.1913 37.7692 4 3.9231 788.1050 -2 15.0000 16 0.4324 622.1 4 1 3 2 0 2
4YNH 0 32.6115 0.0597 38 4.9499 0.6057 0.0288 16.3750 4 3.5000 696.1827 0 7.0000 8 0.2105 482.2 7 1 0 0 0 0
4YTK 0 27.8300 0.5577 40 4.7400 0.4809 0.1247 3.8333 6 3.8333 565.1202 -2 22.0000 23 0.5750 627 3 6 2 1 0 0
4YTK 1 27.5165 0.0632 62 4.9986 0.4809 0.4694 6.6429 6 3.4286 1748.7402 -2 11.5294 17 0.2742 1255.1 0 5 2 6 0 1
4YTW 0 44.8108 0.8164 119 4.4019 0.4580 0.2261 32.5806 20 4.4194 1203.3577 4 47.9697 66 0.5546 1180.3 6 5 10 9 0 1
4YTW 1 23.0803 0.0379 52 4.5171 0.4755 0.2999 19.6250 12 4.1875 590.4317 4 25.8519 27 0.5192 639.7 3 4 7 2 0 0
4YTW 2 12.8240 0.0934 54 4.8256 0.6235 0.2362 43.2308 5 4.3846 1075.8527 3 27.0000 28 0.5185 1048.7 2 5 2 4 0 0
4YTW 3 11.2849 0.0071 37 4.3658 0.4911 0.2453 6.3636 7 3.3636 342.2856 2 3.0000 4 0.1081 374 3 0 5 2 1 0
4YTW 4 9.8823 0.0118 44 4.7737 0.6339 0.3805 16.3077 8 4.2308 1064.6187 1 12.4286 14 0.3182 969.4 11 1 0 2 0 0
4ZM7 0 37.5463 0.0531 36 5.0475 0.7476 0.0411 -3.6667 9 3.8889 866.1028 1 6.0000 7 0.1944 470 0 3 1 0 1 4
4ZOT 0 41.4998 0.5035 42 4.5778 0.6657 0.1653 6.0714 9 3.8571 913.3314 3 6.7500 8 0.1905 802.8 0 6 2 5 0 0
